round,test_loss,test_accuracy,eval_time_s
481,1.897247,0.680200,2.393121
482,1.911583,0.677800,2.405214
483,1.923144,0.681400,2.528442
484,1.897778,0.681000,2.390064
485,1.898932,0.681300,2.427469
486,1.908088,0.682600,2.393310
487,1.909041,0.683800,2.463758
488,1.927044,0.679800,2.405765
489,1.913076,0.680900,2.409897
490,1.903390,0.684400,2.403054
491,1.928534,0.680100,2.434291
492,1.929643,0.681500,2.404766
493,1.921412,0.679800,2.403936
494,1.912032,0.678300,2.393200
495,1.917804,0.680600,2.479514
496,1.935350,0.678400,2.403663
497,1.944694,0.676300,2.418085
498,1.929744,0.680800,2.396036
499,1.927159,0.678400,2.461328
500,1.930242,0.679500,2.414318
