round,test_loss,test_accuracy,eval_time_s
250,1.228085,0.671200,2.645933
251,1.230262,0.673600,2.634916
252,1.246996,0.669200,2.640535
253,1.254031,0.669800,2.681379
254,1.256792,0.673100,2.675369
255,1.261753,0.673400,2.624752
256,1.245381,0.675200,2.644439
257,1.256153,0.675400,2.641140
258,1.262008,0.675700,2.640894
259,1.265407,0.675300,2.215354
260,1.260442,0.674200,2.228825
261,1.264645,0.674300,2.654978
262,1.283774,0.673300,2.628082
263,1.281605,0.672600,2.685321
264,1.287747,0.672900,2.752311
265,1.296832,0.673800,2.641584
266,1.308189,0.672800,2.873417
267,1.297319,0.672800,2.642661
268,1.290575,0.676100,2.644411
269,1.305878,0.675800,2.658247
270,1.309629,0.677300,2.800491
271,1.294520,0.677500,2.633831
272,1.319361,0.669000,2.339351
273,1.301236,0.675900,2.212172
274,1.311212,0.674900,2.521915
275,1.310332,0.671000,2.686563
276,1.316648,0.670800,2.651921
277,1.336941,0.673500,2.683546
278,1.321372,0.671700,2.623440
279,1.322804,0.676300,2.634250
280,1.331121,0.675000,2.682707
281,1.342874,0.675000,2.633669
282,1.345339,0.674400,2.634145
283,1.364029,0.671200,2.665812
284,1.359366,0.674400,2.450606
285,1.360823,0.673100,2.346756
286,1.343589,0.676400,2.639435
287,1.359848,0.675100,2.644693
288,1.362997,0.674400,2.668225
289,1.362095,0.677600,2.646124
290,1.377634,0.673300,2.741943
291,1.363561,0.674700,2.871686
292,1.363047,0.676400,2.631659
293,1.378697,0.674600,2.641319
294,1.376256,0.673400,2.591387
295,1.379219,0.676300,2.743775
296,1.373152,0.674200,2.646140
297,1.390782,0.676400,2.694225
298,1.394835,0.674800,2.728976
299,1.399625,0.672000,2.763130
300,1.391456,0.676000,2.632511
301,1.390563,0.676400,2.218181
302,1.413428,0.670000,2.545124
303,1.407372,0.671200,2.636975
304,1.424621,0.675200,2.687504
305,1.421009,0.670100,2.622224
306,1.420320,0.675000,2.626610
307,1.427607,0.673600,2.130776
308,1.433803,0.674100,2.232726
